authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Dimitris-Kalatzis/150076851', 'https://www.semanticscholar.org/author/Konstantia-Kotta/3021621', 'https://www.semanticscholar.org/author/Ilias-Kalamaras/3044939', 'https://www.semanticscholar.org/author/Anastasios-Vafeiadis/1743459', 'https://www.semanticscholar.org/author/Andy-C-Rawstron/3532232', 'https://www.semanticscholar.org/author/Dimitris-Tzovaras/51510108', 'https://www.semanticscholar.org/author/Kostas-Stamatopoulos/2678859']",3;115;83;33;5219;13;3930,2;24;24;13;266;7;244,1;6;4;3;37;2;32,0;2;3;1;269;0;205
"['https://www.semanticscholar.org/author/Wenpeng-Hu/7849217', 'https://www.semanticscholar.org/author/Bing-Liu/144448400', 'https://www.semanticscholar.org/author/Rui-Yan/144539156', 'https://www.semanticscholar.org/author/Dongyan-Zhao/144060462', 'https://www.semanticscholar.org/author/Jinwen-Ma/1685259']",141;105;6288;2577;1990,19;35;640;163;192,7;5;37;27;21,15;8;424;305;124
['https://www.semanticscholar.org/author/Hang-Wu/2240109'],396,60,12,17
"['https://www.semanticscholar.org/author/Keerthiram-Murugesan/3377711', 'https://www.semanticscholar.org/author/Jaime-G.-Carbonell/143712374']",99;15678,22;505,6;54,13;1625
"['https://www.semanticscholar.org/author/Sohil-Atul-Shah/49485254', 'https://www.semanticscholar.org/author/Vladlen-Koltun/145231047']",81;17520,4;188,2;62,25;2489
"['https://www.semanticscholar.org/author/Xu-Sun/2511091', 'https://www.semanticscholar.org/author/Bingzhen-Wei/15763974', 'https://www.semanticscholar.org/author/Xuancheng-Ren/19169659', 'https://www.semanticscholar.org/author/Shuming-Ma/8093340']",5530;112;443;538,542;14;40;50,41;6;11;13,330;11;51;55
"['https://www.semanticscholar.org/author/Jacob-Devlin/39172707', 'https://www.semanticscholar.org/author/Jonathan-Uesato/9960452', 'https://www.semanticscholar.org/author/Rishabh-Singh/37493633', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473']",9116;895;2149;22034,45;17;80;313,20;11;24;69,2663;110;185;2746
"['https://www.semanticscholar.org/author/Thomas-Elsken/2501244', 'https://www.semanticscholar.org/author/Jan-Hendrik-Metzen/2708564', 'https://www.semanticscholar.org/author/Frank-Hutter/144661829']",674;1785;12566,24;64;233,8;15;49,69;171;1521
"['https://www.semanticscholar.org/author/Qian-Chen/47261124', 'https://www.semanticscholar.org/author/Xiao-Dan-Zhu/1854999', 'https://www.semanticscholar.org/author/Zhen-Hua-Ling/1749989', 'https://www.semanticscholar.org/author/Diana-Inkpen/1697366']",3820;4225;3029;3675,257;89;155;166,27;30;26;30,421;658;360;458
"['https://www.semanticscholar.org/author/Songgang-Zhao/143767130', 'https://www.semanticscholar.org/author/Xingyuan-Yuan/50242841', 'https://www.semanticscholar.org/author/Da-Xiao/36325735', 'https://www.semanticscholar.org/author/Jianyuan-Zhang/2990444', 'https://www.semanticscholar.org/author/Zhouyuan-Li/3235838']",6;12;67;805;296,1;3;32;51;14,1;2;6;15;8,0;0;4;34;17
"['https://www.semanticscholar.org/author/Tianchan-Guan/7811373', 'https://www.semanticscholar.org/author/Xiaoyang-Zeng/145462529', 'https://www.semanticscholar.org/author/Mingoo-Seok/2045759']",12;1316;2408,7;351;148,2;16;25,0;115;190
"['https://www.semanticscholar.org/author/Lars-Buesing/1981334', 'https://www.semanticscholar.org/author/Theophane-Weber/143947744', 'https://www.semanticscholar.org/author/S%C3%A9bastien-Racani%C3%A8re/2026995', 'https://www.semanticscholar.org/author/S.-M.-Ali-Eslami/143648071', 'https://www.semanticscholar.org/author/Danilo-Jimenez-Rezende/1748523', 'https://www.semanticscholar.org/author/David-Reichert/48854799', 'https://www.semanticscholar.org/author/Fabio-Viola/47963165', 'https://www.semanticscholar.org/author/Fr%C3%A9d%C3%A9ric-Besse/47080152', 'https://www.semanticscholar.org/author/Karol-Gregor/144717963', 'https://www.semanticscholar.org/author/Demis-Hassabis/48987704', 'https://www.semanticscholar.org/author/Daan-Wierstra/1688276']",2394;1471;772;4034;8601;36;190;208;4712;23857,54;35;32;38;62;11;6;5;44;55,21;14;12;19;27;2;1;2;19;31,250;147;74;514;1112;1;32;34;528;2564
"['https://www.semanticscholar.org/author/Sanchit-Agrawal/52585865', 'https://www.semanticscholar.org/author/Gurneet-Singh/16453919', 'https://www.semanticscholar.org/author/Mitesh-M.-Khapra/2361078']",1;11;1327,2;10;91,1;2;18,0;1;152
"['https://www.semanticscholar.org/author/Prameesha-Sandamal-Weerasinghe/66358090', 'https://www.semanticscholar.org/author/Tansu-Alpcan/1736599', 'https://www.semanticscholar.org/author/Sarah-M.-Erfani/144757691', 'https://www.semanticscholar.org/author/Christopher-Leckie/1688394']",0;5199;892;5941,1;297;57;296,0;34;11;36,0;297;81;425
"['https://www.semanticscholar.org/author/Zhouhao-Wang/3437589', 'https://www.semanticscholar.org/author/Enda-Liu/145764543', 'https://www.semanticscholar.org/author/Hiroki-Sakaji/2879326', 'https://www.semanticscholar.org/author/Tomoki-Ito/4810353', 'https://www.semanticscholar.org/author/Kiyoshi-Izumi/1997555', 'https://www.semanticscholar.org/author/Kota-Tsubouchi/39944239', 'https://www.semanticscholar.org/author/Tatsuo-Yamashita/2947938']",10;0;102;5936;502;329;371,3;2;44;191;108;87;38,1;0;6;31;11;9;8,0;0;4;414;20;10;56
"['https://www.semanticscholar.org/author/William-M.-Severa/19209495', 'https://www.semanticscholar.org/author/Jerilyn-A.-Timlin/2793839', 'https://www.semanticscholar.org/author/Suraj-Kholwadwala/47205605', 'https://www.semanticscholar.org/author/Conrad-D.-James/34678297', 'https://www.semanticscholar.org/author/James-B.-Aimone/1762576']",48;1339;0;1096;4461,22;157;1;144;96,3;18;0;18;20,0;60;0;34;303
"['https://www.semanticscholar.org/author/Christina-Heinze-Deml/1393626786', 'https://www.semanticscholar.org/author/Nicolai-Meinshausen/90491982']",132;2701,15;28,5;8,11;402
"['https://www.semanticscholar.org/author/Qixuan-Huang/79349358', 'https://www.semanticscholar.org/author/Anshumali-Shrivastava/4260659', 'https://www.semanticscholar.org/author/Yiqiu-Wang/49416476']",7;1097;40,6;100;8,2;16;3,0;110;0
"['https://www.semanticscholar.org/author/Michael-Blot/34804229', 'https://www.semanticscholar.org/author/Thomas-Robert/143914216', 'https://www.semanticscholar.org/author/Nicolas-Thome/1728523', 'https://www.semanticscholar.org/author/Matthieu-Cord/51021910']",65;2138;2120;3325,12;215;99;203,4;25;26;33,8;124;213;289
"['https://www.semanticscholar.org/author/Jason-Ramapuram/16092809', 'https://www.semanticscholar.org/author/Magda-Gregorova/145760350', 'https://www.semanticscholar.org/author/Alexandros-Kalousis/1784711']",35;29;2075,9;7;97,2;2;24,3;1;213
"['https://www.semanticscholar.org/author/Alan-Do-Omri/1403206217', 'https://www.semanticscholar.org/author/Dalei-Wu/2528190', 'https://www.semanticscholar.org/author/Xiaohua-Liu/49543292']",6;1387;193,4;124;81,2;20;7,0;67;12
"['https://www.semanticscholar.org/author/Chin-Chia-Michael-Yeh/3056465', 'https://www.semanticscholar.org/author/Yan-Zhu/97942333', 'https://www.semanticscholar.org/author/Evangelos-E.-Papalexakis/3000659', 'https://www.semanticscholar.org/author/Abdullah-Mueen/48187206', 'https://www.semanticscholar.org/author/Eamonn-J.-Keogh/50543766']",595;3273;2413;3358;27473,34;133;133;85;334,12;11;25;27;77,78;304;177;427;3367
"['https://www.semanticscholar.org/author/Yoav-Levine/50161933', 'https://www.semanticscholar.org/author/Or-Sharir/3074811', 'https://www.semanticscholar.org/author/Amnon-Shashua/3140335']",138;328;8210,9;15;173,6;9;48,7;19;735
"['https://www.semanticscholar.org/author/Janarthanan-Rajendran/10197529', 'https://www.semanticscholar.org/author/Jatin-Ganhotra/2504586', 'https://www.semanticscholar.org/author/Xiaoxiao-Guo/121433787', 'https://www.semanticscholar.org/author/Mo-Yu/50753116', 'https://www.semanticscholar.org/author/Satinder-Singh/41065036']",104;115;141;84;84,14;19;14;48;28,6;7;3;4;6,10;5;19;12;8
"['https://www.semanticscholar.org/author/Sean-Welleck/2129663', 'https://www.semanticscholar.org/author/Zixin-Yao/30025486', 'https://www.semanticscholar.org/author/Yu-Gai/144597853', 'https://www.semanticscholar.org/author/Jialin-Mao/37765692', '-1', 'https://www.semanticscholar.org/author/Kyunghyun-Cho/1979489']",115;9;64;467;-1;45318,11;1;7;34;-1;272,6;1;2;13;-1;52,14;0;6;30;0;6549
"['https://www.semanticscholar.org/author/Da-Xiao/36325735', 'https://www.semanticscholar.org/author/Jo-Yu-Liao/50502560', 'https://www.semanticscholar.org/author/Xingyuan-Yuan/50242841']",67;7;12,32;1;3,6;1;2,4;0;0
"['https://www.semanticscholar.org/author/Brendan-Maginnis/15399870', 'https://www.semanticscholar.org/author/Pierre-H.-Richemond/16326904']",32;13,7;11,3;2,3;2
"['https://www.semanticscholar.org/author/Jakub-Dutkiewicz/3012950', 'https://www.semanticscholar.org/author/Czeslaw-Jedrzejek/1723190']",13;92,18;66,2;4,0;4
"['https://www.semanticscholar.org/author/Dino-Stephen-Ratcliffe/36686733', 'https://www.semanticscholar.org/author/Luca-Citi/2965907', 'https://www.semanticscholar.org/author/Sam-Devlin/1693696', 'https://www.semanticscholar.org/author/Udo-Kruschwitz/2993548']",9;2141;621;1254,3;125;73;174,1;23;12;19,0;84;33;84
"['https://www.semanticscholar.org/author/Yannic-Kilcher/3442443', 'https://www.semanticscholar.org/author/Aur%C3%A9lien-Lucchi/40401747', 'https://www.semanticscholar.org/author/Thomas-Hofmann/143936663']",113;6789;22653,14;68;173,4;24;52,26;1108;3390
"['https://www.semanticscholar.org/author/Ruo-Chun-Tzeng/134683759', 'https://www.semanticscholar.org/author/Shan-Hung-Wu/1743036']",2;300,2;33,1;11,0;46
"['https://www.semanticscholar.org/author/Ron-Amit/1822749', 'https://www.semanticscholar.org/author/Ron-Meir/1766683']",44;3451,6;145,2;29,11;404
"['https://www.semanticscholar.org/author/Michael-Traynor/145822349', 'https://www.semanticscholar.org/author/Thomas-P.-Trappenberg/1741671']",1154;880,177;139,16;16,114;49
"['https://www.semanticscholar.org/author/Lukas-Balles/8604693', 'https://www.semanticscholar.org/author/Philipp-Hennig/2517795']",224;2146,10;99,6;24,31;202
"['https://www.semanticscholar.org/author/Yusuke-Iwasawa/1715282', 'https://www.semanticscholar.org/author/Kotaro-Nakayama/1943224', 'https://www.semanticscholar.org/author/Yutaka-Matsuo/49484314']",113;674;7438,39;71;382,5;13;34,10;88;506
"['https://www.semanticscholar.org/author/Enrico-Guiraud/51040037', 'https://www.semanticscholar.org/author/Jakob-Drefs/10801391', 'https://www.semanticscholar.org/author/J%C3%B6rg-L%C3%BCcke/1790122']",6;12;652,11;10;75,1;2;14,0;0;50
"['https://www.semanticscholar.org/author/Rahul-Anand-Sharma/39812549', 'https://www.semanticscholar.org/author/Navin-Goyal/144260125', 'https://www.semanticscholar.org/author/Monojit-Choudhury/143990839', 'https://www.semanticscholar.org/author/Praneeth-Netrapalli/1751626']",61;1795;1681;3241,27;80;150;72,4;16;22;27,11;236;130;414
"['https://www.semanticscholar.org/author/Andrew-Hallam/153729608', 'https://www.semanticscholar.org/author/Edward-Grant/143613005', 'https://www.semanticscholar.org/author/Vid-Stojevic/12054054', 'https://www.semanticscholar.org/author/Simone-Severini/47831052', 'https://www.semanticscholar.org/author/Andrew-G.-Green/50572718']",358;764;143;2870;509,22;84;20;273;67,6;16;7;30;12,25;29;1;226;19
"['https://www.semanticscholar.org/author/Damien-Vincent/40412424', 'https://www.semanticscholar.org/author/Sylvain-Gelly/1802148', 'https://www.semanticscholar.org/author/Nicolas-Le-Roux/7245737', 'https://www.semanticscholar.org/author/Olivier-Bousquet/1698617']",866;3525;4883;13223,40;112;172;235,11;25;23;39,113;455;536;1950
"['https://www.semanticscholar.org/author/Yang-Fan/144566102', 'https://www.semanticscholar.org/author/Fei-Tian/144054173', 'https://www.semanticscholar.org/author/Tao-Qin/143826491', 'https://www.semanticscholar.org/author/Xiuping-Li/19299474', 'https://www.semanticscholar.org/author/Tie-Yan-Liu/152998017']",582;6393;5498;22919;14727,560;373;289;1269;373,15;38;35;69;54,44;288;608;1301;1752
"['https://www.semanticscholar.org/author/Maja-R.-Rudolph/144016056', 'https://www.semanticscholar.org/author/Francisco-J.-R.-Ruiz/144211059', 'https://www.semanticscholar.org/author/David-M.-Blei/1796335']",378;570;52201,12;31;306,6;13;75,42;67;9229
"['https://www.semanticscholar.org/author/Quynh-Nguyen/145628956', 'https://www.semanticscholar.org/author/Matthias-Hein/143610806']",430;5516,43;171,8;41,32;598
"['https://www.semanticscholar.org/author/Dmitry-Kangin/2232582', 'https://www.semanticscholar.org/author/Nicolas-Pugeault/3251678']",155;1330,23;91,8;19,10;113
"['https://www.semanticscholar.org/author/Davide-Zambrano/1988715', 'https://www.semanticscholar.org/author/Isabella-Pozzi/51341422', 'https://www.semanticscholar.org/author/Roeland-Nusselder/27536560', 'https://www.semanticscholar.org/author/Sander-M.-Bohte/1929254']",115;9;31;2246,20;6;5;117,7;2;3;22,8;0;3;234
"['https://www.semanticscholar.org/author/Kevin-Ellis/145594432', 'https://www.semanticscholar.org/author/Daniel-Ritchie/34491001', 'https://www.semanticscholar.org/author/Armando-Solar-Lezama/1389870240', 'https://www.semanticscholar.org/author/Joshua-B.-Tenenbaum/1763295']",420;948;3896;30421,48;50;129;590,9;13;29;83,23;59;395;2658
"['https://www.semanticscholar.org/author/Jakub-Konecn%C3%BD/32139366', 'https://www.semanticscholar.org/author/H.-Brendan-McMahan/145057514', 'https://www.semanticscholar.org/author/Felix-X.-Yu/1815972', 'https://www.semanticscholar.org/author/Ananda-Theertha-Suresh/9486035', 'https://www.semanticscholar.org/author/Dave-Bacon/36577444', 'https://www.semanticscholar.org/author/Peter-Richt%C3%A1rik/2662221']",2216;5801;2662;1860;2214;5651,36;68;66;64;93;159,16;32;25;19;19;37,231;847;312;200;187;587
"['https://www.semanticscholar.org/author/Shaojie-Bai/35836381', 'https://www.semanticscholar.org/author/J.-Zico-Kolter/145116464', 'https://www.semanticscholar.org/author/Vladlen-Koltun/145231047']",697;7544;17520,15;104;188,6;35;62,116;1052;2489
"['https://www.semanticscholar.org/author/Prajit-Ramachandran/3377142', 'https://www.semanticscholar.org/author/Barret-Zoph/2368067', 'https://www.semanticscholar.org/author/Quoc-V.-Le/2827616']",1052;6924;47503,14;30;192,8;20;79,135;1299;5974
"['https://www.semanticscholar.org/author/Naveen-Kodali/16059880', 'https://www.semanticscholar.org/author/James-Hays/48966748', 'https://www.semanticscholar.org/author/Jacob-D.-Abernethy/2738621', 'https://www.semanticscholar.org/author/Zsolt-Kira/145276578']",212;17359;1844;1141,3;98;96;69,2;38;22;16,25;2976;234;163
"['https://www.semanticscholar.org/author/Sneha-Kudugunta/35871436', 'https://www.semanticscholar.org/author/Adepu-Shankar/143752646', 'https://www.semanticscholar.org/author/Surya-Teja-Chavali/71582922', 'https://www.semanticscholar.org/author/Vineeth-N.-Balasubramanian/1699429', 'https://www.semanticscholar.org/author/Purushottam-Kar/39746893']",84;0;1;1024;1369,6;1;3;116;51,2;0;1;15;15,6;0;0;132;241
"['https://www.semanticscholar.org/author/Kyongmin-Yeo/6914001', 'https://www.semanticscholar.org/author/Igor-Melnyk/2576373', 'https://www.semanticscholar.org/author/N.-H.-Nguyen/144547425', 'https://www.semanticscholar.org/author/Eun-Kyung-Lee/48777113']",467;248;11;459,60;33;10;62,13;10;2;12,41;17;0;23
"['https://www.semanticscholar.org/author/Fan-Yang/145338234', 'https://www.semanticscholar.org/author/Jiazhong-Nie/38113961', 'https://www.semanticscholar.org/author/William-W.-Cohen/50056360', 'https://www.semanticscholar.org/author/Ni-Lao/1914797']",3795;120;22375;2895,207;12;423;50,31;5;68;17,41;10;2622;383
"['https://www.semanticscholar.org/author/Behnam-Neyshabur/3007442', 'https://www.semanticscholar.org/author/Srinadh-Bhojanapalli/1798880', 'https://www.semanticscholar.org/author/Ayan-Chakrabarti/38534744']",2366;1590;1355,27;28;47,18;16;17,313;193;155
"['https://www.semanticscholar.org/author/Chelsea-Finn/46881670', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651']",7689;24386,98;309,33;73,1026;3167
"['https://www.semanticscholar.org/author/Been-Kim/3351164', 'https://www.semanticscholar.org/author/Justin-Gilmer/2058362', 'https://www.semanticscholar.org/author/Martin-Wattenberg/145233583', 'https://www.semanticscholar.org/author/Fernanda-B.-Vi%C3%A9gas/1765169']",3068;3306;16568;13591,51;45;100;90,21;18;43;35,323;457;1775;1501
"['https://www.semanticscholar.org/author/Lars-Eidnes/1410403638', 'https://www.semanticscholar.org/author/Arild-N%C3%B8kland/1410403709']",8;168,1;4,1;4,0;24
"['https://www.semanticscholar.org/author/Changyou-Chen/2624978', 'https://www.semanticscholar.org/author/Chunyuan-Li/1978606', 'https://www.semanticscholar.org/author/Liquan-Chen/49330050', 'https://www.semanticscholar.org/author/Wenlin-Wang/2900282', 'https://www.semanticscholar.org/author/Yunchen-Pu/2750075', 'https://www.semanticscholar.org/author/Lawrence-Carin/145006560']",1797;2011;250;838;1135;19178,94;80;34;41;44;819,24;25;7;15;14;65,244;243;11;72;118;1986
"['https://www.semanticscholar.org/author/Qizhe-Xie/1912046', 'https://www.semanticscholar.org/author/Guokun-Lai/1857734', 'https://www.semanticscholar.org/author/Zihang-Dai/3422912', 'https://www.semanticscholar.org/author/Eduard-H.-Hovy/144547315']",713;784;2364;23512,18;14;27;580,8;6;14;76,157;149;425;2471
"['https://www.semanticscholar.org/author/David-Rolnick/2381187', 'https://www.semanticscholar.org/author/Andreas-Veit/2799898', 'https://www.semanticscholar.org/author/Serge-J.-Belongie/50172592', 'https://www.semanticscholar.org/author/Nir-Shavit/2613669']",615;1671;48487;9355,37;28;281;223,10;17;80;48,39;207;7615;1344
"['https://www.semanticscholar.org/author/Nevan-Wichers/50981270', 'https://www.semanticscholar.org/author/Dumitru-Erhan/1761978', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141']",42;41676;23861,7;60;166,1;31;60,6;5966;2806
"['https://www.semanticscholar.org/author/Andrew-Kyle-Lampinen/32322945', 'https://www.semanticscholar.org/author/James-L.-McClelland/1701656']",91;41502,22;423,5;81,6;3261
"['https://www.semanticscholar.org/author/Corentin-Tallec/31803582', 'https://www.semanticscholar.org/author/Yann-Ollivier/1734570']",149;1568,13;131,5;20,20;191
"['https://www.semanticscholar.org/author/Baruch-Epstein/65780291', 'https://www.semanticscholar.org/author/Ron-Meir/1766683', 'https://www.semanticscholar.org/author/Tomer-Michaeli/1880407']",21;3451;1313,10;145;76,2;29;17,1;404;130
